OpenTime,Position,Symbol,Type,Volume,OpenPrice,S / L,T / P,CloseTime,ClosePrice,Commission,Swap,Profit,Comment,_open_dt,_close_dt,_pnl,_strategy,_hold_minutes,CumPnL,Equity,Drawdown_pct
2026.01.09 13:37:55,1401680630,XAUUSD,sell,0.05,4 489.48,4 484.91,4 469.37,2026.01.09 13:53:06,4 484.89,-0.36,0,22.95,Inv_ATRtrail_pen,2026-01-09 13:37:55,2026-01-09 13:53:06,22.95,ATR-Trailing STRAT,15.183333333333334,748.54,10748.54,-0.0
2026.01.09 13:42:24,1401711007,XAUUSD,buy,0.08,4 485.20,4 483.73,4 497.12,2026.01.09 13:48:04,4 483.64,-0.56,0,-12.48,Inv_Chandelier_p,2026-01-09 13:42:24,2026-01-09 13:48:04,-12.48,Chandelier STRAT,5.666666666666667,736.06,10736.06,-0.12480000000001383
2026.01.09 14:12:45,1401803136,XAUUSD,buy,0.09,4 492.78,4 493.15,4 504.50,2026.01.09 14:40:56,4 493.58,-0.64,0,7.2,Inv_Chandelier_p,2026-01-09 14:12:45,2026-01-09 14:40:56,7.2,Chandelier STRAT,28.183333333333334,743.26,10743.26,-0.05280000000000655
2026.01.09 14:13:33,1401803021,XAUUSD,buy,0.09,4 491.74,4 491.99,4 503.61,2026.01.09 14:29:12,4 491.93,-0.64,0,1.71,Inv_ATRtrail_pen,2026-01-09 14:13:33,2026-01-09 14:29:12,1.71,ATR-Trailing STRAT,15.65,744.97,10744.97,-0.035700000000015275
2026.01.09 14:50:46,1401921259,XAUUSD,buy,0.08,4 481.71,4 488.24,4 495.20,2026.01.09 14:52:51,4 488.13,-0.56,0,51.36,Inv_Chandelier_p,2026-01-09 14:50:46,2026-01-09 14:52:51,51.36,Chandelier STRAT,2.0833333333333335,796.33,10796.33,-0.0
2026.01.09 14:50:59,1401921228,XAUUSD,buy,0.08,4 480.80,4 488.50,4 493.95,2026.01.09 14:56:57,4 493.98,-0.56,0,105.44,Inv_ATRtrail_pen,2026-01-09 14:50:59,2026-01-09 14:56:57,105.44,ATR-Trailing STRAT,5.966666666666667,901.77,10901.77,-0.0
2026.01.12 00:43:08,1403262927,XAUUSD,sell,0.1,4 590.13,4 599.75,4 579.93,2026.01.12 00:55:11,4 599.22,-0.7,0,-90.9,Inv_Chandelier_p,2026-01-12 00:43:08,2026-01-12 00:55:11,-90.9,Chandelier STRAT,12.05,810.87,10810.87,-0.9089999999999965
2026.01.12 00:43:19,1403262897,XAUUSD,sell,0.27,4 590.79,4 594.52,4 586.92,2026.01.12 00:47:21,4 594.78,-1.9,0,-107.73,Inv_ATRtrail_pen,2026-01-12 00:43:19,2026-01-12 00:47:21,-107.73,ATR-Trailing STRAT,4.033333333333333,703.14,10703.14,-1.9863000000000102
2026.01.12 08:28:46,1403923466,XAUUSD,sell,0.22,4 583.40,4 583.21,4 578.52,2026.01.12 08:31:13,4 583.17,-1.54,0,5.06,Inv_Chandelier_p,2026-01-12 08:28:46,2026-01-12 08:31:13,5.06,Chandelier STRAT,2.45,708.1999999999999,10708.2,-1.935699999999997
2026.01.12 08:29:35,1403923461,XAUUSD,sell,0.09,4 584.09,4 595.44,4 572.74,2026.01.12 08:50:37,4 595.44,-0.64,0,-102.15,Inv_ATRtrail_pen,2026-01-12 08:29:35,2026-01-12 08:50:37,-102.15,ATR-Trailing STRAT,21.033333333333335,606.05,10606.05,-2.9572000000000114
2026.01.12 13:04:59,1404340798,XAUUSD,sell,0.14,4 596.16,4 603.37,4 588.63,2026.01.12 13:08:17,4 603.56,-0.98,0,-103.6,Inv_Chandelier_p,2026-01-12 13:04:59,2026-01-12 13:08:17,-103.6,Chandelier STRAT,3.3,502.44999999999993,10502.45,-3.9931999999999968
2026.01.12 13:05:08,1404340785,XAUUSD,sell,0.35,4 597.00,4 599.87,4 594.15,2026.01.12 13:07:57,4 600.23,-2.46,0,-113.05,Inv_ATRtrail_pen,2026-01-12 13:05:08,2026-01-12 13:07:57,-113.05,ATR-Trailing STRAT,2.816666666666667,389.3999999999999,10389.4,-5.123700000000008
2026.01.12 13:11:52,1404367327,XAUUSD,sell,0.1,4 604.80,4 614.49,4 595.31,2026.01.12 13:48:05,4 614.42,-0.7,0,-96.2,Inv_Chandelier_p,2026-01-12 13:11:52,2026-01-12 13:48:05,-96.2,Chandelier STRAT,36.21666666666667,293.19999999999993,10293.2,-6.0856999999999974
2026.01.12 13:12:29,1404367323,XAUUSD,sell,0.1,4 606.10,4 615.52,4 596.34,2026.01.12 13:50:56,4 615.49,-0.7,0,-93.9,Inv_ATRtrail_pen,2026-01-12 13:12:29,2026-01-12 13:50:56,-93.9,ATR-Trailing STRAT,38.45,199.29999999999993,10199.3,-7.024700000000012
2026.01.12 13:31:57,1404413385,XAUUSD,sell,0.16,4 608.26,4 614.48,4 601.98,2026.01.12 13:48:05,4 614.42,-1.12,0,-98.56,Inv_Chandelier_p,2026-01-12 13:31:57,2026-01-12 13:48:05,-98.56,Chandelier STRAT,16.133333333333333,100.73999999999992,10100.74,-8.010300000000006
2026.01.12 14:26:41,1404555416,XAUUSD,buy,0.1,4 587.86,4 585.47,4 597.51,2026.01.12 14:31:39,4 597.78,-0.7,0,99.2,Inv_ATRtrail_pen,2026-01-12 14:26:41,2026-01-12 14:31:39,99.2,ATR-Trailing STRAT,4.966666666666667,199.93999999999994,10199.94,-7.0183
2026.01.12 14:26:41,1404555425,XAUUSD,buy,0.06,4 588.62,4 596.27,4 603.66,2026.01.12 14:34:03,4 596.25,-0.42,0,45.78,Inv_Chandelier_p,2026-01-12 14:26:41,2026-01-12 14:34:03,45.78,Chandelier STRAT,7.366666666666666,245.71999999999994,10245.72,-6.560500000000011
